t,x
0,140.59999999999999
3.33e-02,150.80000000000001
6.67e-02,152.5
1.00e-01,150.30000000000001
0.13300000000000001,148.09999999999999
0.16700000000000001,131.5
0.20000000000000001,110.09999999999999
0.23300000000000001,79.129999999999995
0.26700000000000002,44.32
0.29999999999999999,3.589
0.33300000000000002,-35.479999999999997
0.36699999999999999,-75.049999999999997
0.40000000000000002,-110.59999999999999
0.433,-141.5
0.46700000000000003,-166.40000000000001
0.5,-186.19999999999999
0.53300000000000003,-198.30000000000001
0.56699999999999995,-204.5
0.59999999999999998,-204.80000000000001
0.63300000000000001,-194.40000000000001
0.66700000000000004,-175.40000000000001
0.69999999999999996,-153.40000000000001
0.73299999999999998,-127.90000000000001
0.76700000000000002,-95.349999999999994
0.80000000000000004,-61.590000000000003
0.83299999999999996,-26.800000000000001
0.86699999999999999,9.2409999999999997
0.90000000000000002,42.57
0.93300000000000005,77.650000000000006
0.96699999999999997,101.5
1,121.09999999999999
1.0329999999999999,136.69999999999999
1.0669999999999999,146.90000000000001
1.1000000000000001,147.09999999999999
1.133,147.5
1.167,135
1.2,125.3
1.2330000000000001,102.09999999999999
1.2669999999999999,60.299999999999997
1.3,24.100000000000001
1.333,-10.800000000000001
1.367,-43.079999999999998
1.3999999999999999,-80.159999999999997
1.4330000000000001,-113.90000000000001
1.4670000000000001,-144.90000000000001
1.5,-169.19999999999999
1.5329999999999999,-194.90000000000001
1.5669999999999999,-205
1.6000000000000001,-205
1.633,-205
1.667,-189.80000000000001
1.7,-180.59999999999999
1.7330000000000001,-148.69999999999999
1.8,-79.920000000000002
1.833,-45.960000000000001
1.867,-11.84
1.8999999999999999,22.59
1.9330000000000001,55.450000000000003
1.9670000000000001,83.109999999999999
2,107.09999999999999
2.0329999999999999,127.3
2.0670000000000002,143.90000000000001
2.1000000000000001,152.09999999999999
2.133,153.40000000000001
2.1669999999999998,152
2.2000000000000002,138.19999999999999
2.2330000000000001,121.90000000000001
2.2669999999999999,89.549999999999997
2.2999999999999998,58.039999999999999
2.3330000000000002,25.41
2.367,-11
2.3999999999999999,-41.859999999999999
2.4329999999999998,-78.099999999999994
2.4670000000000001,-109.3
2.5,-136.69999999999999
2.5329999999999999,-156.69999999999999
2.5670000000000002,-172.5
2.6000000000000001,-173.90000000000001
2.633,-176
2.6669999999999998,-170.80000000000001
2.7000000000000002,-158
2.7330000000000001,-150.19999999999999
2.7669999999999999,-128.09999999999999
2.7999999999999998,-98.069999999999993
2.8330000000000002,-68.349999999999994
2.867,-37.890000000000001
2.8999999999999999,-6.641
2.9329999999999998,25.030000000000001
2.9670000000000001,55.579999999999998
3,83.810000000000002
3.0329999999999999,112.90000000000001
3.0670000000000002,129.80000000000001
3.1000000000000001,142
3.133,145.80000000000001
3.1669999999999998,146
3.2000000000000002,139.09999999999999
3.2330000000000001,126.90000000000001
3.2669999999999999,106
3.2999999999999998,81.069999999999993
3.3330000000000002,52.170000000000002
3.367,18.800000000000001
3.3999999999999999,-19.870000000000001
3.4329999999999998,-52.119999999999997
3.4670000000000001,-86.930000000000007
3.5,-114.3
3.5329999999999999,-139.19999999999999
3.5670000000000002,-158.90000000000001
3.6000000000000001,-171.90000000000001
3.633,-175.69999999999999
3.6669999999999998,-176.40000000000001
3.7000000000000002,-168.80000000000001
3.7330000000000001,-167.59999999999999
3.7669999999999999,-150.5
3.7999999999999998,-126.5
3.8330000000000002,-88.739999999999995
3.867,-65.75
3.8999999999999999,-35.359999999999999
3.9329999999999998,-4.7599999999999998
3.9670000000000001,25.420000000000002
4,54.399999999999999
4.0330000000000004,81.75
4.0659999999999998,102.40000000000001
4.0999999999999996,121.5
4.133,137.80000000000001
4.1669999999999998,147.90000000000001
4.2000000000000002,146.59999999999999
4.2329999999999997,136.90000000000001
4.266,119.40000000000001
4.2999999999999998,99.870000000000005
4.3330000000000002,73.530000000000001
4.3659999999999997,45.490000000000002
4.4000000000000004,11.58
4.4329999999999998,-22.510000000000002
4.4660000000000002,-57.450000000000003
4.5,-88.950000000000003
4.5330000000000004,-115.8
4.5659999999999998,-139.90000000000001
4.5999999999999996,-158.59999999999999
4.633,-166
4.6660000000000004,-168.09999999999999
4.7000000000000002,-167.30000000000001
4.7329999999999997,-160.80000000000001
4.766,-149.59999999999999
4.7999999999999998,-128.90000000000001
4.8330000000000002,-105.90000000000001
4.8659999999999997,-80.209999999999994
4.9000000000000004,-49.399999999999999
4.9329999999999998,-24.149999999999999
4.9660000000000002,4.6589999999999998
5,41.369999999999997
5.0330000000000004,66.219999999999999
5.0659999999999998,89.489999999999995
5.0999999999999996,109.2
5.133,125.3
5.1660000000000004,133.5
5.2000000000000002,133.59999999999999
5.2329999999999997,135
5.266,125.59999999999999
5.2999999999999998,110
5.3330000000000002,88.790000000000006
5.3659999999999997,58.340000000000003
5.4000000000000004,28.920000000000002
5.4329999999999998,-2.7890000000000001
5.4660000000000002,-33.060000000000002
5.5,-66.120000000000005
5.5330000000000004,-95.680000000000007
5.5659999999999998,-121.59999999999999
5.5999999999999996,-141.19999999999999
5.633,-155.40000000000001
5.6660000000000004,-166.59999999999999
5.7000000000000002,-170.09999999999999
5.7329999999999997,-166.09999999999999
5.766,-158.19999999999999
5.7999999999999998,-143.19999999999999
5.8330000000000002,-123.59999999999999
5.8659999999999997,-102
5.9000000000000004,-74.150000000000006
5.9329999999999998,-44.68
5.9660000000000002,-13.99
6,17.300000000000001
6.0330000000000004,46.840000000000003
6.0659999999999998,73.760000000000005
6.0999999999999996,97.920000000000002
6.133,116.3
6.1660000000000004,127.90000000000001
6.2000000000000002,132.90000000000001
6.2329999999999997,134.80000000000001
6.266,136.90000000000001
6.2999999999999998,127
6.3330000000000002,99.579999999999998
6.3659999999999997,72.150000000000006
6.4000000000000004,44.420000000000002
6.4329999999999998,16.25
6.4660000000000002,-12.470000000000001
6.5,-42.789999999999999
6.5330000000000004,-58.520000000000003
6.5659999999999998,-85.769999999999996
6.5999999999999996,-108.2
6.633,-126.3
6.6660000000000004,-139.19999999999999
6.7000000000000002,-149.5
6.7329999999999997,-150.30000000000001
6.766,-144.30000000000001
6.7999999999999998,-136.40000000000001
6.8330000000000002,-136.59999999999999
6.8659999999999997,-117.3
6.9000000000000004,-93.739999999999995
6.9329999999999998,-68.459999999999994
6.9660000000000002,-29.960000000000001
7,-10.24
7.0330000000000004,18.039999999999999
7.0659999999999998,44.259999999999998
7.0999999999999996,71.150000000000006
7.133,92.909999999999997
7.1660000000000004,102.59999999999999
7.2000000000000002,114
7.2329999999999997,119.3
7.266,118.40000000000001
7.2999999999999998,114.09999999999999
7.3330000000000002,102.3
7.3659999999999997,97.840000000000003
7.4000000000000004,67.599999999999994
7.4329999999999998,57.359999999999999
7.4660000000000002,14.25
7.5,-18.399999999999999
7.5330000000000004,-36.420000000000002
